序号,raw_name,standard_name,brand,brand_cn,model_canonical,model_display,model_aliases,reference_price,price_note,knowledge_record_id,knowledge_name,match_status,price_alignment,auto_sync_to_kb,review_required,review_reason,action
174,ISOMETRIC Swing Power 500 IOS500 IOS,YONEX ISOMETRIC SWING POWER 900,YONEX,尤尼克斯,ISOMETRIC SWING POWER 900,YONEX ISOMETRIC SWING POWER 900,ISOMETRIC Swing Power 500 IOS500 IOS；YONEX ISOMETRIC SWING POWER 900；POWER500；IOS500,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-SWING-POWER,YONEX ISOMETRIC SWING POWER 900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
185,Isometric Swing Power 900 ISO900 ISO,YONEX ISOMETRIC SWING POWER 900,YONEX,尤尼克斯,ISOMETRIC SWING POWER 900,YONEX ISOMETRIC SWING POWER 900,Isometric Swing Power 900 ISO900 ISO；YONEX ISOMETRIC SWING POWER 900；POWER900；ISO900,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ISOMETRIC-SWING-POWER,YONEX ISOMETRIC SWING POWER 900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
192,MUSCLE POWER 100 MP,YONEX MUSCLE POWER 100,YONEX,尤尼克斯,MUSCLE POWER 100,YONEX MUSCLE POWER 100,MUSCLE POWER 100 MP；YONEX MUSCLE POWER 100；POWER100,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-100,YONEX MUSCLE POWER 100,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
194,MUSCLE POWER 2 MP,YONEX MUSCLE POWER 2,YONEX,尤尼克斯,MUSCLE POWER 2,YONEX MUSCLE POWER 2,MUSCLE POWER 2 MP；YONEX MUSCLE POWER 2；POWER2,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2,YONEX MUSCLE POWER 2,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
195,MUSCLE POWER 2 MP2 MP,YONEX MUSCLE POWER 2,YONEX,尤尼克斯,MUSCLE POWER 2,YONEX MUSCLE POWER 2,MUSCLE POWER 2 MP2 MP；YONEX MUSCLE POWER 2；POWER2；MP2,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-2,YONEX MUSCLE POWER 2,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
197,MUSCLE POWER 22 MP22 mp,YONEX MUSCLE POWER 22,YONEX,尤尼克斯,MUSCLE POWER 22,YONEX MUSCLE POWER 22,MUSCLE POWER 22 MP22 mp；YONEX MUSCLE POWER 22；POWER22；MP22,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-22,YONEX MUSCLE POWER 22,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
198,MUSCLE POWER 22 PLUS MP22PLUS MP系列,YONEX MUSCLE POWER 22,YONEX,尤尼克斯,MUSCLE POWER 22,YONEX MUSCLE POWER 22,MUSCLE POWER 22 PLUS MP22PLUS MP系列；YONEX MUSCLE POWER 22；POWER22；MP22PLUS,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-22,YONEX MUSCLE POWER 22,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
203,MUSCLE POWER 30 MP30 MP,YONEX MUSCLE POWER 30,YONEX,尤尼克斯,MUSCLE POWER 30,YONEX MUSCLE POWER 30,MUSCLE POWER 30 MP30 MP；YONEX MUSCLE POWER 30；POWER30；MP30,320,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-30,YONEX MUSCLE POWER 30,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
205,MUSCLE POWER 44 MP,YONEX MUSCLE POWER 44,YONEX,尤尼克斯,MUSCLE POWER 44,YONEX MUSCLE POWER 44,MUSCLE POWER 44 MP；YONEX MUSCLE POWER 44；POWER44,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-44,YONEX MUSCLE POWER 44,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
211,MUSCLE POWER 66 MP,YONEX MUSCLE POWER 66,YONEX,尤尼克斯,MUSCLE POWER 66,YONEX MUSCLE POWER 66,MUSCLE POWER 66 MP；YONEX MUSCLE POWER 66；POWER66,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-66,YONEX MUSCLE POWER 66,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
212,MUSCLE POWER 7 MP,YONEX MUSCLE POWER 7,YONEX,尤尼克斯,MUSCLE POWER 7,YONEX MUSCLE POWER 7,MUSCLE POWER 7 MP；YONEX MUSCLE POWER 7；POWER7,220,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-7,YONEX MUSCLE POWER 7,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
218,MUSCLE POWER 88 MP,YONEX MUSCLE POWER 88,YONEX,尤尼克斯,MUSCLE POWER 88,YONEX MUSCLE POWER 88,MUSCLE POWER 88 MP；YONEX MUSCLE POWER 88；POWER88,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-88,YONEX MUSCLE POWER 88,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
221,MUSCLE POWER 90 MP,YONEX MUSCLE POWER 90,YONEX,尤尼克斯,MUSCLE POWER 90,YONEX MUSCLE POWER 90,MUSCLE POWER 90 MP；YONEX MUSCLE POWER 90；POWER90,400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-90,YONEX MUSCLE POWER 90,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
222,MUSCLE POWER 99 MP99 MP,YONEX MUSCLE POWER 99,YONEX,尤尼克斯,MUSCLE POWER 99,YONEX MUSCLE POWER 99,MUSCLE POWER 99 MP99 MP；YONEX MUSCLE POWER 99；POWER99；MP99,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-MUSCLE-POWER-99,YONEX MUSCLE POWER 99,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
232,NANOSPEED 300 NS300 NS,YONEX NANOSPEED 300,YONEX,尤尼克斯,NANOSPEED 300,YONEX NANOSPEED 300,NANOSPEED 300 NS300 NS；YONEX NANOSPEED 300；NS300,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-300,YONEX NANOSPEED 300,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
235,NANOSPEED 4500 NS,YONEX NANOSPEED 4500,YONEX,尤尼克斯,NANOSPEED 4500,YONEX NANOSPEED 4500,NANOSPEED 4500 NS；YONEX NANOSPEED 4500,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-4500,YONEX NANOSPEED 4500,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
237,NANOSPEED 500 NS,YONEX NANOSPEED 500,YONEX,尤尼克斯,NANOSPEED 500,YONEX NANOSPEED 500,NANOSPEED 500 NS；YONEX NANOSPEED 500,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-500,YONEX NANOSPEED 500,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
240,NANOSPEED 6000 NS6000 NS,YONEX NANOSPEED 6000,YONEX,尤尼克斯,NANOSPEED 6000,YONEX NANOSPEED 6000,NANOSPEED 6000 NS6000 NS；YONEX NANOSPEED 6000；NS6000,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-6000,YONEX NANOSPEED 6000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
243,NANOSPEED 7000 NS7000 NS系列,YONEX NANOSPEED 7000,YONEX,尤尼克斯,NANOSPEED 7000,YONEX NANOSPEED 7000,NANOSPEED 7000 NS7000 NS系列；YONEX NANOSPEED 7000；NS7000,650,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-7000,YONEX NANOSPEED 7000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
244,NANOSPEED 7000 老款 NS7000 NANOSPEED7000 NS系列,YONEX NANOSPEED 7000,YONEX,尤尼克斯,NANOSPEED 7000,YONEX NANOSPEED 7000,NANOSPEED 7000 老款 NS7000 NANOSPEED7000 NS系列；YONEX NANOSPEED 7000；NS7000,650,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-7000,YONEX NANOSPEED 7000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
245,NANOSPEED 7700 NS7700 NS系列,YONEX NANOSPEED 7700,YONEX,尤尼克斯,NANOSPEED 7700,YONEX NANOSPEED 7700,NANOSPEED 7700 NS7700 NS系列；YONEX NANOSPEED 7700；NS7700,650,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-7700,YONEX NANOSPEED 7700,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
246,NANOSPEED 800 NS800 NS,YONEX NANOSPEED 800,YONEX,尤尼克斯,NANOSPEED 800,YONEX NANOSPEED 800,NANOSPEED 800 NS800 NS；YONEX NANOSPEED 800；NS800,450,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-800,YONEX NANOSPEED 800,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
247,NANOSPEED 8000 BP NS8000BP NS系列,YONEX NANOSPEED 8000,YONEX,尤尼克斯,NANOSPEED 8000,YONEX NANOSPEED 8000,NANOSPEED 8000 BP NS8000BP NS系列；YONEX NANOSPEED 8000；NS8000BP,750,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-8000,YONEX NANOSPEED 8000,低置信对应-需人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
248,NANOSPEED 8000 NS8000 NS系列,YONEX NANOSPEED 8000,YONEX,尤尼克斯,NANOSPEED 8000,YONEX NANOSPEED 8000,NANOSPEED 8000 NS8000 NS系列；YONEX NANOSPEED 8000；NS8000,750,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-8000,YONEX NANOSPEED 8000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
249,NANOSPEED 8000（老款） NS,YONEX NANOSPEED 8000,YONEX,尤尼克斯,NANOSPEED 8000,YONEX NANOSPEED 8000,NANOSPEED 8000（老款） NS；YONEX NANOSPEED 8000,750,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-8000,YONEX NANOSPEED 8000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
251,NANOSPEED 9000 Type S NS9000S NS系列,YONEX ASTROX 9000S,YONEX,尤尼克斯,ASTROX 9000S,YONEX ASTROX 9000S,NANOSPEED 9000 Type S NS9000S NS系列；YONEX ASTROX 9000S；NS9000S,1325,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-ASTROX-9000S,YONEX ASTROX 9000S,低置信对应-需人工确认,已按清单价与知识库价平均覆盖,YES,YES,价格已覆盖；名称/型号对应仍建议复核,参考价已按清单价与知识库价平均值覆盖；同步到知识库
252,NANOSPEED 9000 Type X NS9000X NS系列,YONEX NANOSPEED 9000,YONEX,尤尼克斯,NANOSPEED 9000,YONEX NANOSPEED 9000,NANOSPEED 9000 Type X NS9000X NS系列；YONEX NANOSPEED 9000；NS9000X,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-9000,YONEX NANOSPEED 9000,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
254,NANOSPEED 9900 LT G NS9900LTG NS,YONEX NANOSPEED 9900 LT,YONEX,尤尼克斯,NANOSPEED 9900 LT,YONEX NANOSPEED 9900 LT,NANOSPEED 9900 LT G NS9900LTG NS；YONEX NANOSPEED 9900 LT；NS9900LTG,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-9900-LT,YONEX NANOSPEED 9900 LT,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
255,NANOSPEED 9900 LT PU NS9900LTPU NS,YONEX NANOSPEED 9900 LT,YONEX,尤尼克斯,NANOSPEED 9900 LT,YONEX NANOSPEED 9900 LT,NANOSPEED 9900 LT PU NS9900LTPU NS；YONEX NANOSPEED 9900 LT；NS9900LTPU,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-9900-LT,YONEX NANOSPEED 9900 LT,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
256,NANOSPEED 9900 LTD NS9900LTD NS9900LNYX NS9900 紫青双剑 NS系列,YONEX NANOSPEED 9900 LT,YONEX,尤尼克斯,NANOSPEED 9900 LT,YONEX NANOSPEED 9900 LT,NANOSPEED 9900 LTD NS9900LTD NS9900LNYX NS9900 紫青双剑 NS系列；YONEX NANOSPEED 9900 LT；NS9900LTD；NS9900LNYX；NS9900,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-9900-LT,YONEX NANOSPEED 9900 LT,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
257,NANOSPEED 9900 NS9900 NS系列,YONEX NANOSPEED 9900,YONEX,尤尼克斯,NANOSPEED 9900,YONEX NANOSPEED 9900,NANOSPEED 9900 NS9900 NS系列；YONEX NANOSPEED 9900；NS9900,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-9900,YONEX NANOSPEED 9900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
258,NANOSPEED 9900 红金 NS,YONEX NANOSPEED 9900,YONEX,尤尼克斯,NANOSPEED 9900,YONEX NANOSPEED 9900,NANOSPEED 9900 红金 NS；YONEX NANOSPEED 9900,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-9900,YONEX NANOSPEED 9900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
259,NANOSPEED 9900 黑金 NS9900YX NANOSPEED9900 NS系列,YONEX NANOSPEED 9900,YONEX,尤尼克斯,NANOSPEED 9900,YONEX NANOSPEED 9900,NANOSPEED 9900 黑金 NS9900YX NANOSPEED9900 NS系列；YONEX NANOSPEED 9900；NS9900YX,850,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-9900,YONEX NANOSPEED 9900,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
264,NanoSpeed Excel NSExcel NS,YONEX NANOSPEED EXCEL,YONEX,尤尼克斯,NANOSPEED EXCEL,YONEX NANOSPEED EXCEL,NanoSpeed Excel NSExcel NS；YONEX NANOSPEED EXCEL,550,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-NANOSPEED-EXCEL,YONEX NANOSPEED EXCEL,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
297,DUORA 10 LCW 败者为王 duora10lcw 双刃10LCW 双刃系列,YONEX DUORA 10 LCW,YONEX,尤尼克斯,DUORA 10 LCW,YONEX DUORA 10 LCW,DUORA 10 LCW 败者为王 duora10lcw 双刃10LCW 双刃系列；YONEX DUORA 10 LCW；DUORA10；DUORA10LCW,1400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-10-LCW,YONEX DUORA 10 LCW,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
298,DUORA 10 LCW 银蓝 Duora10lcw 双刃10LCW 宝石蓝 双刃系列,YONEX DUORA 10 LCW,YONEX,尤尼克斯,DUORA 10 LCW,YONEX DUORA 10 LCW,DUORA 10 LCW 银蓝 Duora10lcw 双刃10LCW 宝石蓝 双刃系列；YONEX DUORA 10 LCW；DUORA10；DUORA10LCW,1400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-10-LCW,YONEX DUORA 10 LCW,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
299,DUORA 10 LCW 霜蓝 双刃10LCW duora10 duora10lcw 双刃系列,YONEX DUORA 10 LCW,YONEX,尤尼克斯,DUORA 10 LCW,YONEX DUORA 10 LCW,DUORA 10 LCW 霜蓝 双刃10LCW duora10 duora10lcw 双刃系列；YONEX DUORA 10 LCW；DUORA10；DUORA10LCW,1400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-10-LCW,YONEX DUORA 10 LCW,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
300,DUORA 10 LLC DUO10LLCYX 双刃10LLC 双刃10LV DUORA10王者之志 双刃系列,YONEX DUORA 10,YONEX,尤尼克斯,DUORA 10,YONEX DUORA 10,DUORA 10 LLC DUO10LLCYX 双刃10LLC 双刃10LV DUORA10王者之志 双刃系列；YONEX DUORA 10；DUORA10；DUO10LLCYX,1400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-10,YONEX DUORA 10,模糊对应-建议人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
302,DUORA 10 YX 橙蓝 Duora10 双刃10 DUO10YX duora10lv 双刃系列,YONEX DUORA 10,YONEX,尤尼克斯,DUORA 10,YONEX DUORA 10,DUORA 10 YX 橙蓝 Duora10 双刃10 DUO10YX duora10lv 双刃系列；YONEX DUORA 10；DUORA10；DUO10YX；DUORA10LV,1400,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-10,YONEX DUORA 10,模糊对应-建议人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
303,DUORA 10 双刃10 DUORA10 阴阳拍 双刃十 双刃系列,YONEX DUORA 10,YONEX,尤尼克斯,DUORA 10,YONEX DUORA 10,DUORA 10 双刃10 DUORA10 阴阳拍 双刃十 双刃系列；YONEX DUORA 10；DUORA10,1880,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-10,YONEX DUORA 10,模糊对应-建议人工确认,已对应（在知识库价格范围内）,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
304,DUORA 33 双刃33 DUORA33 双刃系列,YONEX DUORA 33,YONEX,尤尼克斯,DUORA 33,YONEX DUORA 33,DUORA 33 双刃33 DUORA33 双刃系列；YONEX DUORA 33；DUORA33,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-33,YONEX DUORA 33,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
305,DUORA 55 双刃55 DUORA55 双刃系列,YONEX DUORA 55,YONEX,尤尼克斯,DUORA 55,YONEX DUORA 55,DUORA 55 双刃55 DUORA55 双刃系列；YONEX DUORA 55；DUORA55,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-55,YONEX DUORA 55,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
306,DUORA 55 黑 双刃55 DUORA55 19DUO55EX 双刃系列,YONEX DUORA 55,YONEX,尤尼克斯,DUORA 55,YONEX DUORA 55,DUORA 55 黑 双刃55 DUORA55 19DUO55EX 双刃系列；YONEX DUORA 55；DUORA55,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-55,YONEX DUORA 55,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
307,DUORA 6 BP 双刃6BP DUO6BP 双刃系列,YONEX DUORA 6,YONEX,尤尼克斯,DUORA 6,YONEX DUORA 6,DUORA 6 BP 双刃6BP DUO6BP 双刃系列；YONEX DUORA 6；DUORA6；DUO6BP,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-6,YONEX DUORA 6,低置信对应-需人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
308,DUORA 6 双刃6 Duora6 双刃系列,YONEX DUORA 6,YONEX,尤尼克斯,DUORA 6,YONEX DUORA 6,DUORA 6 双刃6 Duora6 双刃系列；YONEX DUORA 6；DUORA6,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-6,YONEX DUORA 6,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
309,DUORA 6 珍珠白 双刃6 DUORA6 DUO6YX 双刃系列,YONEX DUORA 6,YONEX,尤尼克斯,DUORA 6,YONEX DUORA 6,DUORA 6 珍珠白 双刃6 DUORA6 DUO6YX 双刃系列；YONEX DUORA 6；DUORA6；DUO6YX,500,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-6,YONEX DUORA 6,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
310,DUORA 7 BP 双刃7BP DUORA7BP 双刃系列,YONEX DUORA 7,YONEX,尤尼克斯,DUORA 7,YONEX DUORA 7,DUORA 7 BP 双刃7BP DUORA7BP 双刃系列；YONEX DUORA 7；DUORA7；DUORA7BP,800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-7,YONEX DUORA 7,低置信对应-需人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
311,DUORA 7 双刃7 DUORA7 双刃系列,YONEX DUORA 7,YONEX,尤尼克斯,DUORA 7,YONEX DUORA 7,DUORA 7 双刃7 DUORA7 双刃系列；YONEX DUORA 7；DUORA7,800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-7,YONEX DUORA 7,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
312,DUORA 7 深枪灰 双刃7 DUORA7 DUO7YX 双刃系列,YONEX DUORA 7,YONEX,尤尼克斯,DUORA 7,YONEX DUORA 7,DUORA 7 深枪灰 双刃7 DUORA7 DUO7YX 双刃系列；YONEX DUORA 7；DUORA7；DUO7YX,800,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-7,YONEX DUORA 7,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
313,DUORA 77 红白 双刃77 DUORA77 双刃系列,YONEX DUORA 77,YONEX,尤尼克斯,DUORA 77,YONEX DUORA 77,DUORA 77 红白 双刃77 DUORA77 双刃系列；YONEX DUORA 77；DUORA77,1200,参考价，非实时成交价；本系统不做交易、库存或下单判断,YONEX-DUORA-77,YONEX DUORA 77,模糊对应-建议人工确认,已对应,NO,YES,非精确对应，保留人工复核,已标准化商品名；知识库价格不同步，需人工确认
